WEEK;WEEK_LABEL;AGE_GROUP;RESPONDENTS_N;ARI_CASE_PERC
2021-09-20;20 sep t/m 26 sep '21;<=24;232;12,93
2021-09-20;20 sep t/m 26 sep '21;25-39;1108;7,67
2021-09-20;20 sep t/m 26 sep '21;40-49;1549;7,55
2021-09-20;20 sep t/m 26 sep '21;50-59;2549;4,28
2021-09-20;20 sep t/m 26 sep '21;60-69;2935;3,48
2021-09-20;20 sep t/m 26 sep '21;70+;1321;2,04
2021-09-20;20 sep t/m 26 sep '21;Totaal;9694;4,85
2021-09-27;27 sep t/m  3 okt '21;<=24;220;12,73
2021-09-27;27 sep t/m  3 okt '21;25-39;1081;8,70
2021-09-27;27 sep t/m  3 okt '21;40-49;1526;10,16
2021-09-27;27 sep t/m  3 okt '21;50-59;2582;5,77
2021-09-27;27 sep t/m  3 okt '21;60-69;2964;4,66
2021-09-27;27 sep t/m  3 okt '21;70+;1327;3,54
2021-09-27;27 sep t/m  3 okt '21;Totaal;9700;6,30
2021-10-04; 4 okt t/m 10 okt '21;<=24;195;10,26
2021-10-04; 4 okt t/m 10 okt '21;25-39;1059;10,86
2021-10-04; 4 okt t/m 10 okt '21;40-49;1476;8,40
2021-10-04; 4 okt t/m 10 okt '21;50-59;2529;6,60
2021-10-04; 4 okt t/m 10 okt '21;60-69;2914;5,39
2021-10-04; 4 okt t/m 10 okt '21;70+;1343;4,10
2021-10-04; 4 okt t/m 10 okt '21;Totaal;9516;6,70
2021-10-11;11 okt t/m 17 okt '21;<=24;65;13,85
2021-10-11;11 okt t/m 17 okt '21;25-39;307;12,38
2021-10-11;11 okt t/m 17 okt '21;40-49;416;10,10
2021-10-11;11 okt t/m 17 okt '21;50-59;749;6,28
2021-10-11;11 okt t/m 17 okt '21;60-69;838;5,49
2021-10-11;11 okt t/m 17 okt '21;70+;373;2,95
2021-10-11;11 okt t/m 17 okt '21;Totaal;2748;7,02
2021-10-18;18 okt t/m 24 okt '21;<=24;178;13,48
2021-10-18;18 okt t/m 24 okt '21;25-39;817;12,24
2021-10-18;18 okt t/m 24 okt '21;40-49;1141;10,52
2021-10-18;18 okt t/m 24 okt '21;50-59;2044;10,27
2021-10-18;18 okt t/m 24 okt '21;60-69;2303;7,73
2021-10-18;18 okt t/m 24 okt '21;70+;1067;5,62
2021-10-18;18 okt t/m 24 okt '21;Totaal;7550;9,17
2021-10-25;25 okt t/m 31 okt '21;<=24;220;12,73
2021-10-25;25 okt t/m 31 okt '21;25-39;1074;12,10
2021-10-25;25 okt t/m 31 okt '21;40-49;1508;10,21
2021-10-25;25 okt t/m 31 okt '21;50-59;2619;8,97
2021-10-25;25 okt t/m 31 okt '21;60-69;2999;6,47
2021-10-25;25 okt t/m 31 okt '21;70+;1392;6,11
2021-10-25;25 okt t/m 31 okt '21;Totaal;9812;8,42
2021-11-01; 1 nov t/m  7 nov '21;<=24;212;17,92
2021-11-01; 1 nov t/m  7 nov '21;25-39;1054;13,76
2021-11-01; 1 nov t/m  7 nov '21;40-49;1493;11,05
2021-11-01; 1 nov t/m  7 nov '21;50-59;2629;8,33
2021-11-01; 1 nov t/m  7 nov '21;60-69;2945;7,23
2021-11-01; 1 nov t/m  7 nov '21;70+;1349;4,67
2021-11-01; 1 nov t/m  7 nov '21;Totaal;9682;8,71
2021-11-08; 8 nov t/m 14 nov '21;<=24;205;13,66
2021-11-08; 8 nov t/m 14 nov '21;25-39;1093;13,54
2021-11-08; 8 nov t/m 14 nov '21;40-49;1552;11,15
2021-11-08; 8 nov t/m 14 nov '21;50-59;2656;9,64
2021-11-08; 8 nov t/m 14 nov '21;60-69;3013;7,60
2021-11-08; 8 nov t/m 14 nov '21;70+;1377;5,45
2021-11-08; 8 nov t/m 14 nov '21;Totaal;9896;9,19
2021-11-15;15 nov t/m 21 nov '21;<=24;215;19,53
2021-11-15;15 nov t/m 21 nov '21;25-39;1072;13,81
2021-11-15;15 nov t/m 21 nov '21;40-49;1559;13,02
2021-11-15;15 nov t/m 21 nov '21;50-59;2657;9,75
2021-11-15;15 nov t/m 21 nov '21;60-69;3011;7,47
2021-11-15;15 nov t/m 21 nov '21;70+;1396;5,16
2021-11-15;15 nov t/m 21 nov '21;Totaal;9910;9,58
2021-11-22;22 nov t/m 28 nov '21;<=24;211;16,11
2021-11-22;22 nov t/m 28 nov '21;25-39;1126;12,97
2021-11-22;22 nov t/m 28 nov '21;40-49;1485;13,47
2021-11-22;22 nov t/m 28 nov '21;50-59;2548;8,01
2021-11-22;22 nov t/m 28 nov '21;60-69;2870;6,86
2021-11-22;22 nov t/m 28 nov '21;70+;1321;5,98
2021-11-22;22 nov t/m 28 nov '21;Totaal;9561;8,99
2021-11-29;29 nov t/m  5 dec '21;<=24;216;14,81
2021-11-29;29 nov t/m  5 dec '21;25-39;1072;13,71
2021-11-29;29 nov t/m  5 dec '21;40-49;1522;10,97
2021-11-29;29 nov t/m  5 dec '21;50-59;2573;6,96
2021-11-29;29 nov t/m  5 dec '21;60-69;2906;6,88
2021-11-29;29 nov t/m  5 dec '21;70+;1336;5,61
2021-11-29;29 nov t/m  5 dec '21;Totaal;9625;8,31
2021-12-06; 6 dec t/m 12 dec '21;<=24;198;7,07
2021-12-06; 6 dec t/m 12 dec '21;25-39;1058;13,14
2021-12-06; 6 dec t/m 12 dec '21;40-49;1526;9,17
2021-12-06; 6 dec t/m 12 dec '21;50-59;2631;5,85
2021-12-06; 6 dec t/m 12 dec '21;60-69;2964;5,97
2021-12-06; 6 dec t/m 12 dec '21;70+;1427;4,70
2021-12-06; 6 dec t/m 12 dec '21;Totaal;9804;7,05
2021-12-13;13 dec t/m 19 dec '21;<=24;184;8,15
2021-12-13;13 dec t/m 19 dec '21;25-39;1024;8,98
2021-12-13;13 dec t/m 19 dec '21;40-49;1511;7,81
2021-12-13;13 dec t/m 19 dec '21;50-59;2631;5,63
2021-12-13;13 dec t/m 19 dec '21;60-69;3002;4,33
2021-12-13;13 dec t/m 19 dec '21;70+;1436;3,06
2021-12-13;13 dec t/m 19 dec '21;Totaal;9788;5,59
